PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001338,30017,3603,105523.85714285714
E14001339,30017,3603,105523.85714285714
E14001340,30017,3603,105523.85714285714
E14001341,30017,3603,105523.85714285714
E14001342,26049.848000000005,3219.9600000000005,91309.73714285716
E14001343,13841.41,2041.2,47567.475
E14001344,28009.81,3409.2000000000003,98332.1892857143
E14001345,30017,3603,105523.85714285714
E14001346,27372.232,3347.64,96047.77714285714
E14001347,27608.372,3370.44,96893.85571428572
E14001348,28057.038,3413.76,98501.40500000001
E14001349,26734.654,3286.08,93763.36499999999
E14001350,29710.018,3573.36,104423.955
E14001351,19012.876,2540.5200000000004,66096.59571428571
E14001352,29804.474000000002,3582.48,104762.38642857144
E14001353,30017,3603,105523.85714285714
E14001354,30017,3603,105523.85714285714
E14001355,27183.32,3329.3999999999996,95370.91428571429
E14001356,19154.56,2554.2000000000003,66604.24285714286
E14001357,20217.19,2656.7999999999997,70411.59642857143
E14001358,25648.41,3181.2,89871.40357142857
E14001359,13321.902,1991.04,45706.10214285714
E14001360,10653.52,1733.3999999999999,36145.41428571429
E14001361,29497.492000000002,3552.84,103662.4842857143
E14001362,25223.358000000004,3140.1600000000003,88348.46214285716
E14001213,70132.5,7481,249244
E14001214,21775.714,2807.2799999999997,75995.71499999998
E14001215,22153.538,2843.76,77349.44071428572
E14001216,30017,3603,105523.85714285714
E14001217,15116.565999999999,2164.32,52136.29928571428
E14001218,30017,3603,105523.85714285714
E14001219,30017,3603,105523.85714285714
E14001220,29898.93,3591.6,105100.81785714286
E14001221,70132.5,7481,249244
E14001222,29922.544,3593.88,105185.42571428572
E14001223,70132.5,7481,249244
E14001224,14738.742,2127.84,50782.57357142857
E14001225,70132.5,7481,249244
E14001226,27655.6,3375.0000000000005,97063.07142857143
E14001227,29662.789999999997,3568.7999999999997,104254.7392857143
E14001228,28080.651999999995,3416.0399999999995,98586.01285714285
E14001229,70132.5,7481,249244
E14001230,30017,3603,105523.85714285714
E14001231,30017,3603,105523.85714285714
E14001232,24089.886000000002,3030.7200000000003,84287.285
E14001233,26994.408,3311.16,94694.05142857143
E14001234,25176.13,3135.6000000000004,88179.24642857144
E14001235,22861.958000000002,2912.1600000000003,79887.67642857143
E14001236,70132.5,7481,249244
E14001237,30017,3603,105523.85714285714
E14001238,70132.5,7481,249244
E14001239,23830.131999999998,3005.6400000000003,83356.59857142856
E14001240,14242.848,2079.96,49005.80857142857
E14001241,20122.734,2647.68,70073.165
E14001242,25317.814,3149.2799999999997,88686.89357142856
E14001243,12353.728,1897.56,42237.18
E14001244,29875.316000000006,3589.3200000000006,105016.21
E14001245,29237.738,3527.76,102731.79785714287
E14001246,29780.859999999997,3580.2,104677.77857142857
E14001247,9661.732,1637.6399999999999,32591.884285714284
E14001248,30017,3603,105523.85714285714
E14001249,23948.202,3017.04,83779.63785714285
E14001250,16816.773999999998,2328.48,58228.065
E14001251,30017,3603,105523.85714285714
E14001252,30017,3603,105523.85714285714
E14001253,21374.275999999998,2768.52,74557.38142857142
E14001254,26569.356000000003,3270.1200000000003,93171.11000000002
E14001255,30017,3603,105523.85714285714
E14001256,21799.327999999998,2809.56,76080.32285714286
E14001257,70132.5,7481,249244
E14001258,27254.162,3336.2400000000002,95624.73785714287
E14001259,70132.5,7481,249244
E14001260,70132.5,7481,249244
